municipality,province,region,income_class,population,area_km2,pop_density_per_km2,solar_irradiance_kwh_m2_day,solar_norm,income_score,pop_density_norm,geo_score,final_score,web_score,tier,assessment,opportunities,risks,lat,lon
Naga,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,42270,151.29,279.4,4.659,0.1855,6.0,0.3569,0.5863,0.5852,0.5825,MEDIUM,"Naga, Zamboanga Sibugay, as a 1st-class municipality, presents an interesting case where its high economic status contrasts with its rural setting and relatively low solar irradiance, suggesting a market less driven by raw solar potential and more by commercial or institutional demand from its affluent local economy. The presence of a few commercial anchors indicates a concentration of economic activity that could support medium-to-large scale installations despite the low average price level of businesses.","[""Target the relatively affluent commercial sector (businesses, the municipal government, and potential agricultural processors) for rooftop solar projects, leveraging their higher purchasing power and likely high electricity bills to offset the lower solar irradiance with stronger economic returns.""]","[""The low solar irradiance score (0.19) significantly limits the technical and financial performance of any installation, potentially making project payback periods longer and requiring very careful system sizing and cost optimization to be viable.""]",7.7953039,122.6942596
Kabasalan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,48366,321.14,150.6,4.699,0.2185,6.0,0.2965,0.5858,0.5955,0.6181,MEDIUM,"Kabasalan presents a unique paradox for solar development: while its 1st-class income status indicates strong local purchasing power and potential for high-value installations, its very low solar irradiance score suggests the municipality may not be in the optimal sunlight zone of Zamboanga Sibugay, making project economics more challenging. The presence of commercial anchors and positive regional M&A trends in energy, however, indicate a latent demand that could be activated with the right financing or policy support models.","[""Target the 2 commercial/industrial anchors with tailored rooftop solar or power purchase agreements (PPAs), leveraging their existing operations and the municipality's high income capacity to secure reliable, cost-saving clean energy contracts.""]","[""The primary risk is the low solar irradiance (score 0.22), which could lead to lower-than-projected energy yields and undermine financial returns, making projects less attractive without subsidies or higher electricity rates.""]",7.7974574,122.7619459
Siay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,43233,227.9,189.7,4.681,0.2039,6.0,0.3191,0.5852,0.5971,0.625,MEDIUM,"Siay presents a unique market profile, as its exceptional economic classification (1st class) in a rural setting likely indicates a concentrated base of wealthy residents and commercial activity (possibly related to fishing or agriculture), creating customers with high purchasing power for solar despite the municipality's relatively low solar irradiance. The primary driver for adoption here is not maximizing solar yield but rather achieving long-term cost savings against rising electricity rates, making the value proposition more about energy economics than raw environmental efficiency. The very small number of commercial anchors suggests a potential market gap for business-focused solar solutions.","[""Target the high-income households and the single commercial/industrial anchor with premium rooftop solar systems and energy storage solutions, positioning them as financial hedges against volatile electricity price increases.""]","[""The low solar irradiance score (0.20) significantly lengthens the payback period compared to other Philippine municipalities, which could make the ROI story less compelling and require more sophisticated financial modeling to convince customers.""]",7.7096892,122.8671803
Titay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,55534,297.75,186.5,4.643,0.1719,6.0,0.3174,0.5736,0.5999,0.6613,MEDIUM,"Titay's classification as a 1st class urban municipality with high economic activity presents strong commercial potential, but its surprisingly low solar irradiance score (0.17) is a major physical constraint that would likely limit utility-scale solar projects and require a focus on high-efficiency panels or hybrid solutions for viable installations.","[""Leverage the high income score and commercial activity to target rooftop solar installations for the identified businesses and warehouses, using financing schemes to offset the lower solar yield per panel.""]","[""The extremely low solar irradiance may severely underperform financial projections based on regional averages, making projects financially unviable without significant subsidies or technological adjustments.""]",7.8692108,122.5607307
Alicia,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,39484,145.92,270.6,4.911,0.3978,5.0,0.3538,0.5475,0.5702,0.5706,MEDIUM,"Alicia, Zamboanga Sibugay, presents a promising yet challenging market; its high income score indicates greater community purchasing power for solar solutions, and the provincial government's active partnership with a French renewable energy firm signals strong institutional support. However, the rural setting and moderate solar irradiance suggest that initial projects may be more viable for community facilities or agri-business rather than widespread residential adoption.","[""Leverage the provincial government's existing renewable energy partnership to propose a municipal-scale solar project for public facilities (e.g., the municipal hall, health center, or public market), using the demonstrated higher income level to secure local co-investment.""]","[""The municipality's rural classification and score of only 20 nearby businesses may indicate limited local technical capacity for installation and maintenance, requiring costly external support and potentially slowing deployment.""]",7.5068011,122.9406969
Payao,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,33156,191.76,172.9,4.919,0.4044,5.0,0.31,0.5411,0.5829,0.6281,MEDIUM,"Payao, as a 2nd class municipality in Zamboanga Sibugay, presents a moderate opportunity with its solid income score (0.80) suggesting higher local purchasing power, which could support adoption despite its lower population density. The specific data point of a local tender for solar lights in Barangay Silal indicates existing governmental and community awareness, providing a concrete entry point. However, its rural location and moderate solar resource (0.40) mean projects must be carefully sized and financed to match local economic activity.","[""Pursue the public-sector contract referenced in the web intelligence for the \""Purchase And Installation Of Solar Light\"" in Barangay Silal, Payao, using this as a flagship project to build local trust and demonstrate value to the broader community.""]","[""The municipality's rural and potentially remote location in the Zamboanga Peninsula could lead to higher logistical costs for equipment transport and after-sales service, and any regional instability could disrupt project implementation and payment cycles.""]",7.5872537,122.8018635
Mabuhay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),3rd,24296,79.61,305.2,5.113,0.5677,4.0,0.3656,0.4968,0.5525,0.5775,MEDIUM,"Mabuhay presents a moderate-scale opportunity, evidenced by its above-average solar irradiance and the strategic interest of Mabuhay Energy Corporation in developing a major solar project nearby, which could catalyze local supply chains and energy awareness. However, its rural setting, 3rd-class income status, and low commercial anchor count suggest the primary near-term market would be for agricultural or community-based installations rather than dense commercial demand.","[""Leverage the existing industrial momentum from the large-scale Mabuhay Solar Power Project to develop a targeted B2B service offering for associated construction, logistics, or future maintenance needs within the municipality.""]","[""The municipality's limited local economic activity and low population density may result in insufficient private-sector demand to support a dedicated residential solar market without significant subsidies or innovative financing models.""]",7.417105,122.8363678
Buug,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,38730,153.24,252.7,4.675,0.1985,5.0,0.3471,0.4764,0.5229,0.5788,MEDIUM,"Buug presents a unique but challenging case for solar installation; while its high income score (0.80) suggests a strong commercial or agricultural base that could fund projects, its notably low solar irradiance (0.20) for the region significantly diminishes the core value proposition of energy generation. The municipality's rural nature and limited local business infrastructure, indicated by the sparse and low-rated commercial data, further complicate the deployment and maintenance of distributed solar systems.","[""Leverage Buug's relatively high income classification to target successful agri-businesses or commercial establishments for rooftop solar installations, offering them energy cost stability as a primary benefit over pure energy generation potential.""]","[""The combination of low solar irradiance and the municipality's rural, geographically isolated context could severely undermine the financial return on investment for standard solar projects, potentially leading to stranded assets if demand is overestimated.""]",7.7309445,123.0598716
Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),3rd,29652,84.84,349.5,4.804,0.3074,4.0,0.3789,0.4084,0.4942,0.5894,MEDIUM,"Imelda, Zamboanga Sibugay presents a moderate but grounded opportunity for solar adoption. Its 3rd-class income status and rural character suggest potential for cost-sensitive residential and small commercial systems, especially given regional trends of rising electricity and water costs which improve the economic case for solar. However, its relatively low solar irradiance score (0.31) is a key limiting factor that must be factored into any viability calculations.","[""Target the identified cluster of nearby businesses (20 found, avg rating 4.35) with commercial rooftop solar systems to help them offset rising industrial electricity rates (~$0.19/kWh) and operating costs.""]","[""The municipality's low solar irradiance (est. 1403 kWh/kWp/year) directly impacts the energy output and financial payback period of any installation, making projects more sensitive to upfront costs and financing terms.""]",7.6418577,122.9358144
Talusan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),4th,17925,46.25,387.5,5.113,0.5677,3.0,0.389,0.389,0.4997,0.6006,MEDIUM,"Talusan, as a rural, 4th class municipality in Zamboanga Sibugay, presents a niche opportunity due to its moderate solar irradiance (1493 kWh/kWp/yr) and likely issues with grid stability common in the region, making solar viable for specific off-grid or supplemental use cases. However, its small population and low-income classification suggest the market will be limited to commercial anchors or institutional projects rather than widespread residential uptake, requiring highly tailored, affordable solutions.","[""Target the sole commercial/industrial anchor and the small business community (rated 4.53/5) with solar-plus-storage solutions or solar lighting, as reliable power is critical for their operations and they represent the most likely to afford and benefit from immediate ROI.""]","[""The municipality's low economic activity and population score indicate a very limited customer base and low household purchasing power, making it difficult to achieve scale or secure financing for larger community projects, especially if national subsidies or financing schemes are not effectively accessible in this remote area.""]",7.426643,122.8088179
Polanco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,40485,160.94,251.6,5.157,0.6049,6.0,0.3467,0.7311,0.7199,0.6937,MEDIUM,"Polanco presents an interesting paradox as a high-income, first-class rural municipality, suggesting a prosperous agricultural or commercial base that could support solar investment despite its lower population density. The moderate solar irradiance score indicates reliable but not exceptional generation potential, while the strong composite geo score suggests favorable local conditions for project development.","[""Develop commercial-scale solar installations for the identified commercial/industrial anchors and prosperous agricultural enterprises, leveraging the high income classification to fund solar-powered irrigation, cold storage, or processing facilities that address rural productivity needs.""]","[""Infrastructure limitations common to rural Zamboanga Peninsula, such as grid interconnection challenges or logistical complexities for construction and maintenance, could delay projects and increase costs despite strong economic indicators.""]",8.531082,123.3629972
Sibuco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,37883,598.83,63.3,5.231,0.6666,6.0,0.2122,0.7257,0.7278,0.7325,MEDIUM,"Sibuco presents a compelling ""under-the-radar"" opportunity as a 1st class rural municipality with high commercial activity (evidenced by 8 commercial anchors) despite a small population. Its strong income classification, coupled with regional momentum in renewable energy—highlighted by AppleOne Group's nearby solar farm in Zamboanga del Norte—suggests a latent market for commercial and institutional solar adoption, particularly among local businesses and government facilities.","[""Develop a focused B2B initiative targeting Sibuco's 20 existing commercial businesses and 8 industrial anchors, leveraging their high average ratings and the regional narrative around sustainable infrastructure to promote solar solutions for cost savings and brand differentiation.""]","[""Security and logistical challenges in Zamboanga del Norte, including potential infrastructure gaps and stability concerns, could increase project costs, delay installations, and complicate after-sales service in this rural setting.""]",7.2924807,122.0667351
Katipunan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,43427,232.97,186.4,5.157,0.6049,6.0,0.3174,0.7252,0.6884,0.6025,MEDIUM,"Katipunan's high income classification (1st class) indicates strong local purchasing power and a viable commercial base for solar investment, contrasting sharply with its low population density which limits residential market scale. Its moderate solar irradiance, while not exceptional, is serviceable, and the recent regional momentum with the DAR-Astroenergy project in nearby La Libertad suggests a growing institutional and supply-chain familiarity with solar in Zamboanga del Norte. However, the very limited number of commercial/industrial anchors found (only 1) and low price level score point to a market currently reliant on small businesses, not large energy consumers.","[""Leverage the active municipal leadership and strong local economy (indicated by 1st class income) to develop a municipal government solar installation program, using the nearby La Libertad solar plant project as a reference case for public-sector credibility and potential technical support partnerships.""]","[""The rural nature and limited population base create a thin market with few large commercial or industrial offtakers, making large-scale projects financially challenging and highly dependent on securing a stable government or cooperative as the primary customer.""]",8.5124998,123.2846423
Siocon,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,51239,372.5,137.6,4.976,0.4518,6.0,0.2877,0.6657,0.7144,0.8281,MEDIUM,"Siocon, as a first-class urban municipality in Zamboanga del Norte, presents a compelling commercial market due to its high-income classification and established business activity, though its solar irradiance is only moderate. The recent commissioning of a significant solar farm in the province by AppleOne's Astronergy subsidiary signals strong regional momentum and validates grid connectivity, but also introduces major utility-scale competition. Our focus should be on capturing the high-value commercial and industrial segment within the town itself, leveraging the existing economic activity.","[""Target the commercial/industrial anchors (malls, warehouses) in Siocon for rooftop solar PPA (Power Purchase Agreement) deals, capitalizing on the town's high-income businesses seeking to reduce operational costs and the demonstrated provincial interest in solar.""]","[""The entry of a large-scale solar developer like Astronergy in the same province could saturate the utility-scale market and potentially influence land availability or local policy focus, complicating our access to larger ground-mount projects.""]",7.7064072,122.1359108
Pres. Manuel A. Roxas,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,38649,445.27,86.8,4.967,0.4446,6.0,0.2428,0.6542,0.6782,0.7344,MEDIUM,"Pres. Manuel A. Roxas presents a unique profile as a rural 1st-class municipality, indicating a relatively affluent local economy that can support capital investments like solar panels despite its rural setting. Its moderate solar resource and proximity to commercial anchors suggest a viable market for distributed solar, particularly for businesses seeking to offset costs amid rising energy demands.","[""Target the identified commercial and industrial anchors (8 nearby businesses) for rooftop solar installations, leveraging their economic activity and the national push for corporate renewable energy adoption.""]","[""The property market signals data is garbled and unreliable, which hinders accurate assessment of land availability, cost, or suitability for larger ground-mounted solar projects in the area.""]",8.5204531,123.2312256
City of Dapitan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,87699,219.94,398.7,5.247,0.6803,5.0,0.3918,0.654,0.6426,0.6162,MEDIUM,"Dapitan City, as a 2nd-class urban center with a high income score, shows clear commercial potential for solar installations, especially given the confirmed award of a solar power project in early 2025. Its moderate solar irradiance (est. 1532 kWh/kWp/year) is viable, but the relatively small population size suggests the market will be driven more by commercial anchors and institutional adopters than by a large residential base.","[""Leverage the momentum from the recently awarded solar power project (as of Feb 2025) to establish a strong local partnership or service hub, positioning the company to capture maintenance contracts and secondary commercial installations in the area.""]","[""The municipality's location in the Zamboanga Peninsula poses logistical and security-related challenges for supply chain and installation operations, potentially increasing project costs and timelines compared to more accessible regions in the Philippines.""]",8.6549449,123.4243754
Manukan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,35669,146.69,243.2,4.895,0.3841,6.0,0.3434,0.6531,0.6526,0.6513,MEDIUM,"Manukan presents an interesting case where its high income classification (1st class) suggests household purchasing power that could overcome the barrier of relatively low solar irradiance (0.38 score). Its rural setting and lack of major commercial anchors indicate the market is likely concentrated on residential or agricultural applications rather than large-scale commercial solar. The positive national policy environment, especially the Green Energy Options Program, provides a supportive backdrop for residential solar adoption.","[""Target Manukan's relatively affluent households with financing packages for rooftop solar, leveraging their high income to offset the lower energy yield and emphasizing long-term savings and energy security in a rural grid context.""]","[""The low solar irradiance score (0.38) means solar systems will produce less electricity per installed capacity compared to other regions, potentially leading to longer payback periods and making the investment proposition more challenging for cost-conscious buyers.""]",8.5161638,123.0919375
Baliguian,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,25585,392.09,65.3,4.976,0.4518,6.0,0.2152,0.6512,0.6049,0.4969,MEDIUM,"Baliguian presents a compelling case for solar due to its high 1st-class income classification despite its rural character, indicating potential purchasing power and possible commercial/agricultural enterprises. The moderate solar irradiance is viable but not exceptional, and the strong business ratings suggest a community that values quality service, which an installer could leverage. However, its remote location in Zamboanga del Norte likely presents logistical challenges for sales, installation, and after-sales support.","[""Target the municipality's affluent rural households and the single commercial/industrial anchor (e.g., a warehouse, mill, or resort) with premium solar packages, emphasizing long-term savings and reliability for both residential and commercial needs.""]","[""The rural, potentially remote location within Zamboanga Peninsula could significantly increase operational costs (transport, labor) and complicate project logistics and maintenance, making rapid scaling difficult.""]",7.8097453,122.1451356
City of Dipolog,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,136528,118.5,1152.1,5.157,0.6049,5.0,0.4959,0.6484,0.668,0.7137,MEDIUM,"City of Dipolog presents a promising urban market due to its relatively high income classification (0.80) and confirmed local momentum for solar, exemplified by the announced 15-hectare plant in neighboring Zamboanga del Norte and its inclusion in a national ""Cool and Solar"" initiative. However, its moderate solar irradiance score and the very low average price level of businesses (0) suggest potential market sensitivity to upfront costs despite the income data. The key will be leveraging commercial anchors and policy support to drive adoption.","[""Targeting the commercial and industrial sector, specifically the 20 identified anchors like malls and warehouses, to capitalize on rising electricity costs and the demonstrated government/industry interest in renewable energy projects in the Zamboanga Peninsula.""]","[""Market adoption for residential and small commercial systems may be hampered by low consumer spending power or price sensitivity (as indicated by the average price level score of 0), making financing or payback period a critical hurdle despite the city's 2nd-class income status.""]",8.5863596,123.3448798
Sergio Osmeña Sr.,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,31187,371.0,84.1,4.79,0.2959,6.0,0.2397,0.6015,0.6252,0.6806,MEDIUM,"Sergio Osmeña Sr. presents a mixed but intriguing profile for solar investment; its high income classification (1.00 score) indicates strong economic capacity, likely driven by agricultural commerce and a notable municipal budget, but its low solar irradiance (0.30 score) makes residential applications less compelling. The ongoing infrastructure spending, like the 2025 concrete bridge project, and active real estate market signal an environment where commercial or institutional solar installations could gain traction.","[""Target commercial and government buildings (supported by the large municipal budget and new infrastructure projects) for solar installations to offset high energy costs in this relatively affluent municipality.""]","[""The low solar irradiance (estimated 1399 kWh/kWp/year) significantly reduces the economic value proposition for standard residential rooftop systems, potentially limiting the mass-market opportunity.""]",8.2956667,123.5082447
Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,40937,481.84,85.0,4.709,0.2273,6.0,0.2408,0.5777,0.5782,0.5794,MEDIUM,"Siayan presents a unique case where a very high municipal income classification (1st class) contrasts with poor solar irradiance, making it a challenging market for standard residential rooftop systems. However, the recent 7 MW Astronergy solar farm development in Zamboanga del Norte indicates strong regional momentum and potential for large-scale commercial or agricultural solar projects in a economically active area. The primary target would likely be high-income agricultural businesses or local enterprises needing to offset rising energy costs rather than typical residential installations.","[""Leverage the high-income status and recent solar farm announcement to develop tailored solar solutions for Siayan's larger agricultural operations (e.g., irrigation pumps, cold storage) or commercial establishments, positioning the company as a provider for proven, utility-scale adjacent projects.""]","[""The municipality's very low solar irradiance score (0.23) fundamentally reduces the financial appeal and payback period for solar installations, potentially making many standard business cases unviable compared to other regions with better solar resources.""]",8.2513869,123.1142638
Sirawai,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,39836,269.78,147.7,5.039,0.5056,5.0,0.2946,0.5734,0.5997,0.6613,MEDIUM,"Sirawai presents a promising but complex solar opportunity. While its moderate irradiance and low population density suggest limited residential demand, the municipality's high income classification (2nd class) and the confirmed 7MW utility-scale solar farm development by AppleOne/Astronergy in Zamboanga del Norte strongly indicate growing commercial and industrial viability for solar power in the region.","[""Target commercial and industrial customers (e.g., the 3 identified commercial anchors) in Sirawai, leveraging the proven large-scale solar investment in the province as a catalyst and proof-of-concept for smaller rooftop or distributed solar systems.""]","[""The entry of a major utility-scale solar farm could absorb market attention, land, and grid capacity, potentially creating competition or regulatory hurdles for smaller, distributed solar projects intended for local businesses or residencies.""]",7.5852175,122.140523
Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,104514,445.27,234.7,4.618,0.1505,6.0,0.3399,0.5706,0.647,0.825,MEDIUM,"Sindangan, as a 1st-class urban municipality in Zamboanga del Norte, presents a prime commercial target due to its high economic activity and established business infrastructure. However, its very low solar irradiance score indicates that standard solar economics will be challenging here, making commercial and industrial rooftop projects with high daytime consumption the most viable initial focus. The municipality's status as a key commercial hub in the Zamboanga Peninsula means businesses here likely face significant electricity costs, creating a strong financial incentive despite the suboptimal sunlight.","[""Leverage the 12 identified commercial/industrial anchors (like warehouses or large commercial buildings) to pilot behind-the-meter solar installations, directly offsetting high grid electricity costs for businesses with significant daytime load.""]","[""The municipality's location in Region IX, which has historically faced security and insurgency-related challenges in parts of the province, could increase project risk perception, potentially complicating financing and requiring additional site security assessments.""]",8.2373562,122.9986125
Gutalac,Zamboanga del Norte,Region IX (Zamboanga Peninsula),1st,37512,398.39,94.2,4.664,0.1892,6.0,0.2507,0.5664,0.5768,0.6013,MEDIUM,"Gutalac presents a unique case as a rural municipality with exceptionally high income classification (1st class), suggesting strong local purchasing power despite its rural setting. The very low solar irradiance score is a critical technical constraint, but the affluent local economy, evidenced by real estate activity and high business ratings, indicates a potential market for premium solar solutions if educational barriers are addressed.","[""Develop a premium residential solar program targeting Gutalac's seemingly affluent homeowners and small business owners (noted from high-rated local businesses), positioning solar as a status symbol and long-term cost-saving asset in a high-electricity-cost area.""]","[""The extremely low solar irradiance (among the lowest in this dataset) fundamentally limits energy output and system ROI, making traditional solar pitch arguments weak. Success would depend entirely on overcoming this technical hurdle with exceptional financing or hybrid solutions, which increases project complexity and risk.""]",7.9809872,122.4052632
Labason,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,44615,159.32,280.0,4.727,0.2426,5.0,0.3572,0.4939,0.5583,0.7087,MEDIUM,"Labason presents a mixed opportunity profile; its high income score suggests businesses or wealthier residents can afford solar investments, but the low solar irradiance score (among the lowest in a typical Philippine run) fundamentally limits the energy yield potential. The municipality's status as a rural commercial hub with several industrial anchors offers a targeted customer base, but the poor solar resource remains a significant technical constraint.","[""Target the six identified commercial/industrial anchors (like warehouses or processing facilities) with rooftop solar systems to offset their high electricity costs (~$0.19/kWh), as their consistent daytime load could maximize the value of the limited local sunshine.""]","[""The extremely low solar irradiance score (0.24) is a primary risk, as it directly reduces system ROI and payback period for customers, making price-sensitive sales challenging despite the high income classification.""]",8.0650994,122.5249426
Piñan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),3rd,19184,123.48,155.4,5.048,0.5128,4.0,0.2996,0.4644,0.5459,0.7362,MEDIUM,"Piñan is a rural, 3rd-class municipality with moderate solar irradiance and a relatively high income score for its category, suggesting some local economic capacity. The presence of commercial anchors with very high ratings indicates an established small-business community that could be receptive to cost-saving solar investments, though the low population score points to a limited overall market size.","[""Target the cluster of highly-rated small businesses (like the 20 nearby) and potential commercial anchors (the 7 found) with rooftop solar solutions to help them manage rising electricity costs and capitalize on their demonstrated economic activity.""]","[""The municipality's rural nature and moderate overall economic scale (3rd-class income, population under 20k) may result in insufficient aggregate demand or difficulty securing financing for larger community or utility-scale projects.""]",8.4816541,123.4507182
Liloy,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,41881,122.68,341.4,4.601,0.1366,5.0,0.3766,0.4606,0.5103,0.6262,MEDIUM,"Liloy presents a mixed case for solar installation: its 2nd-class income status and the news of a proposed special economic zone suggest potential for commercial adoption and economic growth. However, its notably low solar irradiance score (0.14) and rural classification indicate a challenging environment for large-scale solar efficiency and likely smaller, cost-sensitive customers. The significant nearby government-backed solar project in La Libertad signals regional interest but could also divert focus and resources.","[""Leverage the potential economic stimulus from the proposed Zamboanga del Norte Special Economic Zone to target commercial and institutional solar installations (e.g., businesses, municipal buildings) as the zone develops, positioning early as a local solar service provider.""]","[""The project's viability is hampered by very low solar irradiance, which could lead to lower energy yields and longer payback periods, making it harder to compete with conventional electricity or solar projects in sunnier nearby municipalities like the one in La Libertad.""]",8.1215661,122.6737425
Salug,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,33060,144.69,228.5,4.525,0.0723,5.0,0.3373,0.4302,0.4782,0.59,MEDIUM,"Salug presents a contrasting profile: while its solar irradiance is among the lowest in the run (0.07 score), its high income score (0.80) for a rural 2nd-class municipality suggests a stronger economic base than average, potentially indicating viable commercial or institutional customers. The nearby 15-hectare solar plant project in La Libertad, Zamboanga del Norte, confirms regional momentum that could indirectly benefit Salug through improved grid infrastructure or local awareness.","[""Target Salug's commercial and institutional buildings (e.g., schools, municipal offices) with rooftop solar solutions, leveraging the relatively high local purchasing power and the province's active solar development narrative to offset the low irradiance.""]","[""The very low solar irradiance score (0.07) fundamentally limits the technical and economic appeal of solar projects, making it difficult to achieve competitive returns without significant subsidies or complementary technologies like hybrid systems with storage.""]",8.1074204,122.7576885
Jose Dalman,Zamboanga del Norte,Region IX (Zamboanga Peninsula),3rd,27951,134.64,207.6,4.895,0.3841,4.0,0.3279,0.425,0.5114,0.7131,MEDIUM,"Jose Dalman is a small, rural municipality with modest economic activity and relatively low solar irradiance compared to regional averages, suggesting limited immediate demand for commercial solar projects. However, the recent announcement of a solar plant project in nearby La Libertad indicates growing regional momentum and potential for spillover interest in renewable energy infrastructure. The municipality's primary market would likely be residential or small business users rather than large industrial anchors.","[""Leverage the regional solar project momentum (La Libertad plant) to offer smaller-scale, community-focused solar solutions, such as systems for the municipal hall, schools, or local cooperatives, potentially supported by government agrarian reform or rural electrification programs.""]","[""Very low commercial/industrial base and average price level suggest limited private sector purchasing power, making projects highly dependent on subsidies or external funding, which can be volatile and slow to materialize.""]",8.441282,123.0229259
Sibutad,Zamboanga del Norte,Region IX (Zamboanga Peninsula),4th,18199,68.61,265.3,5.247,0.6803,3.0,0.3519,0.421,0.4704,0.5856,MEDIUM,"Sibutad's moderate solar irradiance is promising, but its rural, low-income character suggests the primary opportunity lies not in dense rooftop installations, but in supporting the recent major utility-scale solar development announced for the province, potentially through supply chain, land provision, or localized O&M services. The imminent 7-25 MW solar farm by AppleOne/Astronergy in Zamboanga del Norte fundamentally changes the regional landscape, creating a direct anchor for clean energy economic activity nearby.","[""Become a service and logistics hub for the new utility-scale solar farm in the province, offering land, local labor for construction/maintenance, or materials support, capitalizing on the first-mover infrastructure investment.""]","[""The very low population and income classification severely limit the addressable market for distributed residential/commercial solar systems, making the municipality's solar economy almost entirely dependent on the success and secondary benefits of the single large-scale project.""]",8.6126898,123.4801814
Leon T. Postigo,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2nd,29535,250.84,117.7,4.529,0.0755,5.0,0.2725,0.4184,0.5295,0.7362,MEDIUM,"Leon T. Postigo, a coastal rural municipality in Zamboanga del Norte, presents a mixed case for solar development; its notably low solar irradiance score is a significant physical constraint, but its high income score and recent infrastructure investments (as noted in news snippets) suggest some commercial viability. The municipality's economy appears to have pockets of commercial activity, with over 20 businesses rated highly, which could drive demand for solar solutions in those establishments.","[""Target the commercial/industrial anchors (11 found) and relatively high-rated businesses for rooftop solar installations, leveraging the local economic activity and investment momentum in the region.""]","[""The very low solar irradiance (0.08 score) severely limits the energy generation potential and payback period for any solar project, making it economically unattractive for widespread residential or community-scale adoption compared to other regions.""]",8.1500692,122.9252642
Rizal,Zamboanga del Norte,Region IX (Zamboanga Peninsula),4th,15347,67.19,228.4,5.156,0.6034,3.0,0.3372,0.3911,0.5091,0.6269,MEDIUM,"Rizal, as a rural 4th-class municipality in Zamboanga del Norte, has moderate solar potential (estimated 1505 kWh/kWp/year) but faces typical challenges of limited local demand and lower income levels, which could constrain immediate commercial-scale adoption. However, the strong regional momentum for solar, highlighted by the nearby DAR-Astroenergy project in La Libertad and robust M&A activity in the sector, suggests a favorable policy and investment environment for decentralized or community-based solar initiatives that could target local anchoring businesses or agriculture.","[""Develop a targeted commercial solar installation for the municipality's small but steady commercial hub (evidenced by 20 nearby businesses with high average ratings), potentially using a PPA model to offset their high electricity costs in a low-price-level area.""]","[""The project could be overshadowed or lose priority to larger, headline solar ventures in neighboring, higher-profile municipalities like La Libertad or Dipolog City, diverting potential investor or government attention and support.""]",8.5247536,123.5513072
Mutia,Zamboanga del Norte,Region IX (Zamboanga Peninsula),4th,12197,88.04,138.5,5.048,0.5128,3.0,0.2884,0.3496,0.4945,0.675,MEDIUM,"Mutia is a rural, lower-income municipality with moderate solar potential, making it a challenging but possible site for niche solar projects like powering remote agricultural facilities or a small community microgrid. The significant development is the announced 15-hectare DAR solar plant in neighboring La Libertad, which could create regional expertise and infrastructure support but also indicates larger, more centralized projects are prioritized in the province over dispersed municipal-level installations.","[""Leverage proximity to the upcoming La Libertad solar plant by positioning Mutia-based solar firms for local maintenance, component supply, or secondary distribution roles to serve that project and similar future ones in Zamboanga del Norte.""]","[""The very low population density and 4th-class income classification severely limit the potential customer base for residential or commercial rooftop solar, making standalone projects financially unviable without significant subsidies or a dedicated anchor client.""]",8.4200174,123.4762768
